categoria,nome_produto,slug_produto,imagem_principal,galeria_01,galeria_02,galeria_03,observacao
Pipas,Briti,briti,/assets/products/briti/principal.jpg,/assets/products/briti/galeria-01.jpg,/assets/products/briti/galeria-02.jpg,/assets/products/briti/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Latão,latao,/assets/products/latao/principal.jpg,/assets/products/latao/galeria-01.jpg,/assets/products/latao/galeria-02.jpg,/assets/products/latao/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Pipas,Carrapeto,carrapeto,/assets/products/carrapeto/principal.jpg,/assets/products/carrapeto/galeria-01.jpg,/assets/products/carrapeto/galeria-02.jpg,/assets/products/carrapeto/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Carretilhas,Carretilhas Madeira,carretilhas-madeira,/assets/products/carretilhas-madeira/principal.jpg,/assets/products/carretilhas-madeira/galeria-01.jpg,/assets/products/carretilhas-madeira/galeria-02.jpg,/assets/products/carretilhas-madeira/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Carretilhas,Carretilhas Plástico,carretilhas-plastico,/assets/products/carretilhas-plastico/principal.jpg,/assets/products/carretilhas-plastico/galeria-01.jpg,/assets/products/carretilhas-plastico/galeria-02.jpg,/assets/products/carretilhas-plastico/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Carretilhas,Latas,latas,/assets/products/latas/principal.jpg,/assets/products/latas/galeria-01.jpg,/assets/products/latas/galeria-02.jpg,/assets/products/latas/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Folhas,Folhas de cores,folhas-cores,/assets/products/folhas-cores/principal.jpg,/assets/products/folhas-cores/galeria-01.jpg,/assets/products/folhas-cores/galeria-02.jpg,/assets/products/folhas-cores/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Folhas,Folhas desenhadas,folhas-desenhadas,/assets/products/folhas-desenhadas/principal.jpg,/assets/products/folhas-desenhadas/galeria-01.jpg,/assets/products/folhas-desenhadas/galeria-02.jpg,/assets/products/folhas-desenhadas/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Folhas,Folhas Corte e Recorte,folhas-corte-recorte,/assets/products/folhas-corte-recorte/principal.jpg,/assets/products/folhas-corte-recorte/galeria-01.jpg,/assets/products/folhas-corte-recorte/galeria-02.jpg,/assets/products/folhas-corte-recorte/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Folhas,Folhas laminadas,folhas-laminadas,/assets/products/folhas-laminadas/principal.jpg,/assets/products/folhas-laminadas/galeria-01.jpg,/assets/products/folhas-laminadas/galeria-02.jpg,/assets/products/folhas-laminadas/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Fibras,Fibra,fibra,/assets/products/fibra/principal.jpg,/assets/products/fibra/galeria-01.jpg,/assets/products/fibra/galeria-02.jpg,/assets/products/fibra/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Bambu,Bambu,bambu,/assets/products/bambu/principal.jpg,/assets/products/bambu/galeria-01.jpg,/assets/products/bambu/galeria-02.jpg,/assets/products/bambu/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Formas para fabricar pipas,Forma para fabricar pipas,forma-fabricar,/assets/products/forma-fabricar/principal.jpg,/assets/products/forma-fabricar/galeria-01.jpg,/assets/products/forma-fabricar/galeria-02.jpg,/assets/products/forma-fabricar/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Colas,Cola,cola,/assets/products/cola/principal.jpg,/assets/products/cola/galeria-01.jpg,/assets/products/cola/galeria-02.jpg,/assets/products/cola/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
Rabiolas,Rabiola (500m),rabiola-500m,/assets/products/rabiola-500m/principal.jpg,/assets/products/rabiola-500m/galeria-01.jpg,/assets/products/rabiola-500m/galeria-02.jpg,/assets/products/rabiola-500m/galeria-03.jpg,Principal com fallback para /assets/products/placeholder.jpg; galeria exibida somente quando houver arquivo válido.
